validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
2.664782762527466,0.2078244984149933,0,3907,,
,,0,3907,2.7071003913879395,0.1553712785243988
2.622849225997925,0.2483845204114914,1,7815,,
,,1,7815,2.654486656188965,0.21836337447166443
2.580024003982544,0.2942178547382355,2,11723,,
,,2,11723,2.6159372329711914,0.258563756942749
2.5420327186584473,0.33192178606987,3,15631,,
,,3,15631,2.5841944217681885,0.2908651828765869
2.506014347076416,0.3696756958961487,4,19539,,
,,4,19539,2.5511467456817627,0.32517245411872864
2.475616216659546,0.4008127450942993,5,23447,,
,,5,23447,2.5243141651153564,0.35307076573371887
2.4514174461364746,0.4247860610485077,6,27355,,
,,6,27355,2.5015408992767334,0.3763740658760071
2.4344229698181152,0.44179362058639526,7,31263,,
,,7,31263,2.4825637340545654,0.39545395970344543
2.4190847873687744,0.4569757580757141,8,35171,,
,,8,35171,2.46734881401062,0.4104781448841095
2.4087140560150146,0.46658068895339966,9,39079,,
,,9,39079,2.4547407627105713,0.4229351580142975
2.3980400562286377,0.47779110074043274,10,42987,,
,,10,42987,2.444244146347046,0.43325260281562805
2.3871819972991943,0.4880848228931427,11,46895,,
,,11,46895,2.4352405071258545,0.44201305508613586
2.379946708679199,0.49543246626853943,12,50803,,
,,12,50803,2.42789888381958,0.44916000962257385
2.3778328895568848,0.49702996015548706,13,54711,,
,,13,54711,2.4211812019348145,0.45572543144226074
2.3722622394561768,0.5028550624847412,14,58619,,
,,14,58619,2.4154303073883057,0.4612738788127899
2.369680881500244,0.5052273273468018,15,62527,,
,,15,62527,2.410195827484131,0.4662877917289734
2.3625528812408447,0.5120301246643066,16,66435,,
,,16,66435,2.4059553146362305,0.47038373351097107
2.3630244731903076,0.5115123391151428,17,70343,,
,,17,70343,2.401583433151245,0.47459837794303894
2.3552961349487305,0.5191248655319214,18,74251,,
,,18,74251,2.3980629444122314,0.47797879576683044
2.351642370223999,0.5226117372512817,19,78159,,
,,19,78159,2.3945374488830566,0.4813792109489441
2.3505890369415283,0.5238093733787537,20,82067,,
,,20,82067,2.3908960819244385,0.48491808772087097
2.338993549346924,0.5355076193809509,21,85975,,
,,21,85975,2.3861799240112305,0.4897315502166748
2.337476968765259,0.5367632508277893,22,89883,,
,,22,89883,2.38226056098938,0.493715763092041
